2.493418344871540793e+00 7.285369208068043889e+00 7.912196170150674668e+00
2.033858984463384534e+00 6.063729018653144287e+00 8.597693155465329085e+00
1.222714175797768865e+00 6.224517384172083112e+00 8.199475503057868764e+00
1.533328459712241632e+00 6.734004949695811426e+00 8.544124401657136048e+00
4.004958346001183500e+00 4.960136627184895453e+00 5.366326000430180265e+00
9.818882490190364853e-01 7.758967217291286023e-01 1.051987984628780515e+00
2.655436756038001000e-01 3.123077300011726898e+00 3.254292702718640573e+00
1.793535471747921717e+00 1.130848749818790910e+00 8.143270154571746744e-01
3.311238609508309949e+00 5.463426972693498307e+00 4.890983537775201562e+00
2.659544763904699849e+00 5.789664170569597701e+00 7.900417014147002703e+00
1.608678127229705934e+00 2.755010087293333854e+00 4.059111847843984933e+00
3.323186781949314828e+00 5.639069353014683372e+00 5.383150730228282832e+00
1.431366077094419653e+00 9.466576613972211840e-01 1.095224610051105163e+00
2.312373534870692637e+00 6.472732604031982362e+00 7.541680484505847382e+00
2.719954433956925044e+00 6.058892016030152483e+00 8.490533791250335582e+00
9.750113620057717645e-01 2.806853728721091290e+00 2.694016949632536129e+00
1.168593508709735440e+00 2.909964398174446742e+00 3.186246374843476392e+00
1.007915613348066453e+00 1.258431695282819174e+00 1.015326705266286211e+00
3.714893253519493399e-01 1.279871210470959975e+00 1.330488380053313602e+00
1.700283595432570571e+00 6.527091254630278172e+00 8.781086968820599026e+00
2.607989055586718230e+00 5.951731638755098253e+00 5.220694902849920105e+00
7.814436641823592211e-01 3.074498069897173558e+00 2.370512762748178570e+00
-2.797408994875572041e-02 3.254627206489489222e+00 3.066485567405835777e+00
1.018981034755459092e+00 3.262514940773804994e+00 2.553960039236059743e+00
7.658064659842134247e-01 2.683952026977215688e+00 2.560779088232229217e+00
3.696285099650958195e+00 5.927000844360104104e+00 4.744649536865254369e+00
1.844515906698366958e+00 6.116797670289320976e+00 8.724576249698737129e+00
4.984051760349749172e-01 2.534215152912173696e+00 3.256719799333313237e+00
1.933084480570432140e+00 5.822495777038610321e+00 7.608287229901969262e+00
1.246102353353603087e+00 3.292240560619786649e+00 2.588656632183501838e+00
2.749341355738288861e+00 5.827791229559038833e+00 5.207498797570580429e+00
2.781264261367719648e+00 7.209561436449732241e+00 5.353852146969294346e+00
2.100027250772836140e+00 5.822911361951851106e+00 5.653052978002551576e+00
3.328444433463635832e+00 5.484673568556334367e+00 5.491305037580833215e+00
1.671613380638098612e+00 5.130122865718653724e-01 1.543580295912130973e+00
2.816969764707671242e+00 6.730981199723311548e+00 4.837803991740385889e+00
2.096273936812039107e+00 6.508081033489330203e+00 8.690813102266266910e+00
3.485312197495760156e+00 5.966674157762031250e+00 4.915623532124933526e+00
